Players;Ratings;Minutes;Goals;Assists;Offsides;Passes;Accurate_Passes;Accurate_Passes_%;Crosses;Tackles;Total_Shots;Shots_on_Target;Blocked_Shots;Yellow_Cards;Red_Cards;Fouls_Drawn;Fouls_Committed;Clearances;Saves
D. Abramowicz;7,36;90;0;0;1;24;21;88;1;1;0;0;0;0;0;0;0;8;0
S. Kerk;6,51;70;0;0;0;24;18;75;8;0;3;0;2;0;0;1;1;1;0
J. Oliveira;7,07;27;0;0;0;10;8;80;2;0;1;1;0;0;0;0;0;0;0
A. Nguiamba;6,92;63;0;0;0;27;23;85;0;3;0;0;0;0;0;1;0;2;0
D. Zator;6,77;46;0;0;0;24;19;79;1;1;0;0;0;0;0;0;0;2;0
K. Jakubczyk;6,41;27;0;0;0;5;5;100;0;0;0;0;0;1;0;1;2;0;0
D. Kocyla;7,16;63;0;0;0;14;13;93;0;3;0;0;0;0;0;5;0;0;0
D. Weglarz;6,88;90;0;0;0;28;13;46;0;0;0;0;0;0;0;1;0;2;3
M. Navarro;6,73;44;0;0;0;17;13;76;7;2;0;0;0;0;0;0;0;5;0
T. Gaprindashvili;6,76;90;0;0;1;25;23;92;1;0;2;0;0;1;0;1;2;0;0
D.Percan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M. Marcjanik;6,66;90;0;0;0;30;25;83;0;0;0;0;0;0;0;1;1;10;0
A. Sidibe;6,52;90;0;0;1;17;15;88;0;0;0;0;0;1;0;2;1;0;0
H. Vitalucci;6,44;63;0;0;0;13;8;62;2;1;1;0;1;0;0;0;1;0;0
J. Celestine;6,59;90;0;0;0;33;27;82;0;0;1;0;1;1;0;0;2;9;0
S. Sobczak;6,50;27;0;0;0;2;1;50;0;1;0;0;0;0;0;0;1;0;0
M. Predenkiewicz;6,60;20;0;0;0;6;2;33;0;0;1;0;0;0;0;0;0;0;0
L.Perea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;
