Players;Ratings;Minutes;Goals;Assists;Offsides;Passes;Accurate_Passes;Accurate_Passes_%;Crosses;Tackles;Total_Shots;Shots_on_Target;Blocked_Shots;Yellow_Cards;Red_Cards;Fouls_Drawn;Fouls_Committed;Clearances;Saves
D. Abramowicz;8,17;90;1;0;1;31;25;81;2;0;3;1;0;0;0;2;1;7;0
S. Kerk;7,58;90;0;1;0;29;25;86;6;2;2;2;0;0;0;1;0;1;0
J. Oliveira;6,87;46;0;0;1;10;9;90;1;0;2;1;0;0;0;1;0;0;0
A. Nguiamba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D. Zator;6,81;20;0;0;0;13;9;69;2;3;0;0;0;0;0;1;0;1;0
K. Jakubczyk;7,02;81;0;0;0;18;18;100;0;3;0;0;0;0;0;2;1;2;0
D. Kocyla;6,23;70;0;0;1;10;7;70;0;0;1;0;0;0;0;0;0;2;0
D. Weglarz;6,48;90;0;0;0;36;22;61;0;0;0;0;0;0;0;0;0;1;2
M. Navarro;6,55;70;0;0;0;30;21;70;4;3;0;0;0;0;0;1;2;3;0
T. Gaprindashvili;6,41;20;0;0;0;7;3;43;1;0;0;0;0;0;0;0;0;0;0
D.Percan;6,58;26;0;0;0;6;5;83;0;1;0;0;0;0;0;0;0;0;0
M. Marcjanik;6,50;90;0;0;0;54;43;80;0;0;1;1;1;1;0;0;1;4;0
A. Sidibe;6,38;90;0;0;0;23;18;78;0;3;0;0;0;0;0;2;3;4;0
H. Vitalucci;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
J. Celestine;6,23;90;0;0;0;41;35;85;0;0;1;0;0;0;0;0;1;2;0
S. Sobczak;6,16;64;0;0;0;5;4;80;0;0;0;1;0;0;0;1;3;2;0
M. Predenkiewicz;5,99;44;0;0;0;3;3;100;0;0;0;0;0;0;0;1;3;1;0
L.Perea;6,28;9;0;0;0;5;4;80;0;0;0;0;0;0;0;0;1;0;0
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
